counter,video_id,URL, ,Predicted type,Extracted Instance,True Instance,True type,Classification,,,,,,,
34,467,https://www.youtube.com/watch?v=SghMq1xBJPI, ,Person,Steve Tjoa,Steve Tjoa,Person,TP,,,,,,,
,,https://www.youtube.com/watch?v=SghMq1xBJPI,,Company,Rackspace,Rackspace,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=SghMq1xBJPI,,Company,o'reilly media,o'reilly media,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=SghMq1xBJPI,,Company,iZotope,iZotope,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=SghMq1xBJPI,,Organization,Stanford University,Stanford University,Organization,TP,,,,,,,
,,https://www.youtube.com/watch?v=SghMq1xBJPI,,Organization,National Science Foundation,National Science Foundation,Organization,TP,,,,,,,
,,https://www.youtube.com/watch?v=SghMq1xBJPI,,Organization,Center for Computer Research,Center for Computer Research,Organization,TP,,,,,,,
35,495,https://www.youtube.com/watch?v=UoVLpoGMzYI, ,-,-,-,-,-,,,,,,,
36,507,https://www.youtube.com/watch?v=VTzK2_NQ85g, ,Person,Ali Hassan,Ali Hassan,Person,TP,,,,,,,
,,https://www.youtube.com/watch?v=VTzK2_NQ85g,,Person,Sandro Bimonte,Sandro Bimonte,Person,TP,,,,,,,
37,514,https://www.youtube.com/watch?v=VvGinSy5JPo, ,Company,Microsoft,Microsoft,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=VvGinSy5JPo,,Organization,,Alti,Organization,FN,,,,,,,
38,516,https://www.youtube.com/watch?v=WASE-jjSKr4, ,-,-,-,-,-,,,,,,,
39,519,https://www.youtube.com/watch?v=WF32Gap_pVg, ,Person,Frank Kane,Frank Kane,Person,TP,,,,,,,
,,https://www.youtube.com/watch?v=WF32Gap_pVg,,Company,Netflix,Netflix,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=WF32Gap_pVg,,Company,AWS,AWS,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=WF32Gap_pVg,,Company,Amazon,Amazon,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=WF32Gap_pVg,,Company,YouTube,YouTube,Organization,?????????,,,,,,,
40,537,https://www.youtube.com/watch?v=X8RnCX4wW88, ,Person,Bio,,Person,FP,,,,,,,
,,https://www.youtube.com/watch?v=X8RnCX4wW88,,Person,Oliver Gindele,Oliver Gindele,Person,TP,,,,,,,
41,546,https://www.youtube.com/watch?v=XgBbPJJ1J-Q, ,Person,,P. Grasch,Person,FN,,,,,,,
,,https://www.youtube.com/watch?v=XgBbPJJ1J-Q,,Person,,A. Felfernig,Person,FN,,,,,,,
42,570,https://www.youtube.com/watch?v=ZC-opVtEoJA, ,-,-,-,-,-,,,,,,,
43,602,https://www.youtube.com/watch?v=a0mhEtJ3Cmk, ,-,-,-,-,-,,,,,,,
44,604,https://www.youtube.com/watch?v=a2i-lHS-c_I, ,Company,Instagram,Instagram,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=a2i-lHS-c_I,,Company,UpSkill,UpSkill,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=a2i-lHS-c_I,,Company,Google,Google,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=a2i-lHS-c_I,,Company,Facebook,Facebook,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=a2i-lHS-c_I,,Organization,Coaching Centre for Information Technology,Coaching Centre for Information Technology,Organization,TP,,,,,,,
45,615,https://www.youtube.com/watch?v=arcIwHEt3CA, ,-,-,-,-,-,,,,,,,
46,618,https://www.youtube.com/watch?v=b51iuuTUPBo, ,Person,Jeremy Stierwalt,Jeremy Stierwalt,Person,TP,,,,,,,
47,630,https://www.youtube.com/watch?v=bVbVNF5JYwE, ,Person,Xiao Hu,Xiao Hu,Person,TP,,,,,,,
,,https://www.youtube.com/watch?v=bVbVNF5JYwE,,Organization,Division of Information and Technology Studies,Division of Information and Technology Studies,Organization,TP,,,,,,,
,,https://www.youtube.com/watch?v=bVbVNF5JYwE,,Organization,University of Hong Kong,University of Hong Kong,Organization,TP,,,,,,,
,,https://www.youtube.com/watch?v=bVbVNF5JYwE,,Organization,Faculty of Education,,,FP,,,,,,,
,,https://www.youtube.com/watch?v=bVbVNF5JYwE,,Organization,Oxford University's e-Research Centre,Oxford University's e-Research Centre,Organization,TP,,,,,,,
48,661,https://www.youtube.com/watch?v=dRaTeTaHBsI, ,Person,Peter Kawinek,Peter Kawinek,Person,TP,,,,,,,
49,666,https://www.youtube.com/watch?v=ddOaljj66C8, ,-,-,-,-,-,,,,,,,
50,672,https://www.youtube.com/watch?v=e1KHq2p2PM0, ,-,-,-,-,-,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
